"sig_classe_proces","nom_ministro","total_decs"
"RMS","MINISTRO PRESIDENTE","15"
"RMS","MIN. SYDNEY SANCHES","26"
"RMS","MIN. SEPÚLVEDA PERTENCE","64"
"RMS","MIN. RICARDO LEWANDOWSKI","149"
"RMS","MIN. OCTAVIO GALLOTTI","6"
"RMS","MIN. NÉRI DA SILVEIRA","32"
"RMS","MIN. NELSON JOBIM","108"
"RMS","MIN. MOREIRA ALVES","24"
"RMS","MIN. MENEZES DIREITO","3"
"RMS","MIN. MAURÍCIO CORRÊA","22"
"RMS","MIN. MARCO AURÉLIO","187"
"RMS","MIN. LUIZ FUX","1"
"RMS","MIN. JOAQUIM BARBOSA","76"
"RMS","MIN. ILMAR GALVÃO","18"
"RMS","MIN. GILMAR MENDES","46"
"RMS","MIN. FRANCISCO REZEK","1"
"RMS","MIN. EROS GRAU","72"
"RMS","MIN. ELLEN GRACIE","78"
"RMS","MIN. DIAS TOFFOLI","58"
"RMS","MIN. CÁRMEN LÚCIA","67"
"RMS","MIN. CEZAR PELUSO","50"
"RMS","MIN. CELSO DE MELLO","83"
